method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Dense original,keep,5ae72b96554299572ea5474e,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",1.0,1.0,0.8772153153380493,1.5,0.0,1,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",Risingson | Neil Davidge | Slo Light | Mezzanine (album) | Bullet Boy (soundtrack),Mezzanine (album) | Risingson
Dense keyword,keyword_compress,5ae72b96554299572ea5474e,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",1.0,1.0,0.8772153153380493,1.5,0.0,1,risingson first single album massive attack first produced neil davidge along group,Risingson | Neil Davidge | Slo Light | Mezzanine (album) | Bullet Boy (soundtrack),Mezzanine (album) | Risingson
Hybrid original,keep,5ae72b96554299572ea5474e,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",1.0,1.0,1.0,1.5,0.0,2,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",Risingson | Mezzanine (album) | Slo Light | Neil Davidge | 100th Window,Mezzanine (album) | Risingson
Hybrid keyword,keyword_compress,5ae72b96554299572ea5474e,"Risingson is the first single from what album by Massive Attack, that was the first to be produced by Neil Davidge, along with the group?",1.0,1.0,1.0,1.5,0.0,2,risingson first single album massive attack first produced neil davidge along group,Risingson | Mezzanine (album) | Neil Davidge | Slo Light | 100th Window,Mezzanine (album) | Risingson
Dense original,keep,5adfee9c55429906c02daa8a,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,1.0,1.0,0.9197207891481876,1.5,0.0,1,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,Audacious (CupcakKe album) | State (magazine) | The Fader | Exclaim! | Cult MTL,Audacious (CupcakKe album) | The Fader
Dense keyword,keyword_compress,5adfee9c55429906c02daa8a,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,1.0,1.0,0.9197207891481876,1.5,0.0,1,music magazine launched rob stone jon cohen interviewed cupcakke about album audacious september first print publication released,Audacious (CupcakKe album) | State (magazine) | The Fader | Exclaim! | Fader Label,Audacious (CupcakKe album) | The Fader
Hybrid original,keep,5adfee9c55429906c02daa8a,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,1.0,1.0,1.0,1.5,0.0,2,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,Audacious (CupcakKe album) | The Fader | State (magazine) | Fader Label | Exclaim!,Audacious (CupcakKe album) | The Fader
Hybrid keyword,keyword_compress,5adfee9c55429906c02daa8a,The music magazine launched by Rob Stone and Jon Cohen that interviewed CupcakKe about her album Audacious in September was the first print publication to be released where?,1.0,1.0,1.0,1.5,0.0,2,music magazine launched rob stone jon cohen interviewed cupcakke about album audacious september first print publication released,Audacious (CupcakKe album) | The Fader | Fader Label | State (magazine) | Cornerstone (agency),Audacious (CupcakKe album) | The Fader
Dense original,keep,5ab8ee805542991b5579f051,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,0.5,1.0,0.6131471927654584,1.0,0.0,1,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,Wernher von Braun | Arthur Rudolph | Saturn V Instrument Unit | Saturn V | Saturn II,Applications Technology Satellite | Wernher von Braun
Dense keyword,keyword_compress,5ab8ee805542991b5579f051,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,0.5,1.0,0.6131471927654584,1.0,0.0,1,german credited inventing v 2 rocket saturn v also supervisor nasa program,Wernher von Braun | Arthur Rudolph | Saturn V Instrument Unit | Saturn II | Saturn V,Applications Technology Satellite | Wernher von Braun
Hybrid original,keep,5ab8ee805542991b5579f051,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,0.5,1.0,0.6131471927654584,1.0,0.0,2,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,Wernher von Braun | Arthur Rudolph | Saturn V Instrument Unit | Redl-Zipf | Saturn V,Applications Technology Satellite | Wernher von Braun
Hybrid keyword,keyword_compress,5ab8ee805542991b5579f051,The German who is credited with inventing the V-2 rocket and Saturn V was also a supervisor of what NASA program?,0.5,1.0,0.6131471927654584,1.0,0.0,2,german credited inventing v 2 rocket saturn v also supervisor nasa program,Wernher von Braun | Arthur Rudolph | Saturn V Instrument Unit | Saturn V Dynamic Test Vehicle | Saturn II,Applications Technology Satellite | Wernher von Braun
Dense original,keep,5a7a06525542990198eaf04f,Who was born first David Draiman or Terry Kath?,1.0,1.0,1.0,1.5,0.0,1,Who was born first David Draiman or Terry Kath?,Terry Kath | David Draiman | Device (metal band) | 25 or 6 to 4 | Prayer (song),David Draiman | Terry Kath
Dense keyword,keyword_compress,5a7a06525542990198eaf04f,Who was born first David Draiman or Terry Kath?,1.0,1.0,1.0,1.5,0.0,1,born first david draiman terry kath,Terry Kath | David Draiman | Device (metal band) | 25 or 6 to 4 | Prayer (song),David Draiman | Terry Kath
Hybrid original,keep,5a7a06525542990198eaf04f,Who was born first David Draiman or Terry Kath?,1.0,1.0,1.0,1.5,0.0,2,Who was born first David Draiman or Terry Kath?,David Draiman | Terry Kath | 25 or 6 to 4 | Device (metal band) | Hot Streets,David Draiman | Terry Kath
Hybrid keyword,keyword_compress,5a7a06525542990198eaf04f,Who was born first David Draiman or Terry Kath?,1.0,1.0,1.0,1.5,0.0,2,born first david draiman terry kath,David Draiman | Terry Kath | Device (metal band) | Prayer (song) | 25 or 6 to 4,David Draiman | Terry Kath
Dense original,keep,5a732aaa5542992359bc325a,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",Bertha Gilkey | Bernard Gilkey | James M. Carrington | T.R. Carr | Streetcars in St. Louis,Bertha Gilkey | Property management
Dense keyword,keyword_compress,5a732aaa5542992359bc325a,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",0.5,1.0,0.6131471927654584,1.0,0.0,1,career path african american activist bertha gilkey pursue st louis missouri,Bertha Gilkey | Bernard Gilkey | James M. Carrington | T.R. Carr | Streetcars in St. Louis,Bertha Gilkey | Property management
Hybrid original,keep,5a732aaa5542992359bc325a,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",Bertha Gilkey | Bernard Gilkey | James M. Carrington | Streetcars in St. Louis | 1927 St. Louis – East St. Louis tornado,Bertha Gilkey | Property management
Hybrid keyword,keyword_compress,5a732aaa5542992359bc325a,"Which career path did African-American activist Bertha Gilkey pursue in St. Louis, Missouri?",0.5,1.0,0.6131471927654584,1.0,0.0,2,career path african american activist bertha gilkey pursue st louis missouri,Bertha Gilkey | Bernard Gilkey | James M. Carrington | Streetcars in St. Louis | 1927 St. Louis – East St. Louis tornado,Bertha Gilkey | Property management
Dense original,keep,5a7a70b355429941d65f2647,"Who was born later, Jerry Garcia or Joe Gooch?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"Who was born later, Jerry Garcia or Joe Gooch?",Joe Gooch | The Very Best of Jerry Garcia | Sunshine Becker | Garcia Plays Dylan | Jerry Garcia,Jerry Garcia | Joe Gooch
Dense keyword,keyword_compress,5a7a70b355429941d65f2647,"Who was born later, Jerry Garcia or Joe Gooch?",0.5,1.0,0.6131471927654584,1.0,0.0,1,born later jerry garcia joe gooch,Joe Gooch | Sunshine Becker | Garcia Plays Dylan | The Very Best of Jerry Garcia | Sugaree,Jerry Garcia | Joe Gooch
Hybrid original,keep,5a7a70b355429941d65f2647,"Who was born later, Jerry Garcia or Joe Gooch?",1.0,1.0,0.8772153153380493,1.5,0.0,2,"Who was born later, Jerry Garcia or Joe Gooch?",Joe Gooch | Sunshine Becker | The Very Best of Jerry Garcia | Jerry Garcia | Sandy Rothman,Jerry Garcia | Joe Gooch
Hybrid keyword,keyword_compress,5a7a70b355429941d65f2647,"Who was born later, Jerry Garcia or Joe Gooch?",0.5,1.0,0.6131471927654584,1.0,0.0,2,born later jerry garcia joe gooch,Joe Gooch | Sunshine Becker | Garcia Plays Dylan | Sandy Rothman | The Very Best of Jerry Garcia,Jerry Garcia | Joe Gooch
Dense original,keep,5ab928c255429934fafe6e6e,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",1.0,1.0,1.0,1.5,0.0,1,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",Richard Strauss | Die Nacht (Strauss) | Capriccio (opera) | An Alpine Symphony | Allerseelen (Strauss),Die Nacht (Strauss) | Richard Strauss
Dense keyword,keyword_compress,5ab928c255429934fafe6e6e,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",1.0,1.0,1.0,1.5,0.0,1,die nacht composed german composer richard strauss other well known operas compose,Die Nacht (Strauss) | Richard Strauss | Capriccio (opera) | An Alpine Symphony | Allerseelen (Strauss),Die Nacht (Strauss) | Richard Strauss
Hybrid original,keep,5ab928c255429934fafe6e6e,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",1.0,1.0,1.0,1.5,0.0,2,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",Richard Strauss | Die Nacht (Strauss) | Emmanuel Chabrier | Allerseelen (Strauss) | Best Of – LaFee,Die Nacht (Strauss) | Richard Strauss
Hybrid keyword,keyword_compress,5ab928c255429934fafe6e6e,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",1.0,1.0,1.0,1.5,0.0,2,die nacht composed german composer richard strauss other well known operas compose,Richard Strauss | Die Nacht (Strauss) | Best Of – LaFee | Allerseelen (Strauss) | Capriccio (opera),Die Nacht (Strauss) | Richard Strauss
Dense original,keep,5ab58ee6554299488d4d99d6,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",Not Another B Movie | Dan Frischman | B movies (Transition in the 1950s) | Eddie Dew | Evan C. Kim,Joe Estevez | Not Another B Movie
Dense keyword,keyword_compress,5ab58ee6554299488d4d99d6,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",0.5,1.0,0.6131471927654584,1.0,0.0,1,birthdate american actor director producer starred not another b movie,Not Another B Movie | B movies (Transition in the 1950s) | Eddie Dew | Evan C. Kim | Anubhav (1986 film),Joe Estevez | Not Another B Movie
Hybrid original,keep,5ab58ee6554299488d4d99d6,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",Not Another B Movie | James Vallo | Dan Frischman | Anubhav (1986 film) | B movies (Transition in the 1950s),Joe Estevez | Not Another B Movie
Hybrid keyword,keyword_compress,5ab58ee6554299488d4d99d6,"What is the birthdate of this American actor, director, and producer, who starred in Not Another B Movie?",1.0,1.0,0.8503449055347546,1.5,0.0,2,birthdate american actor director producer starred not another b movie,Not Another B Movie | James Vallo | B movies (Transition in the 1950s) | Eddie Dew | Joe Estevez,Joe Estevez | Not Another B Movie
Dense original,keep,5a79ad485542994bb9457036,What competitions does Lai Shiu Wing team compete participate in? ,1.0,1.0,1.0,1.5,0.0,1,What competitions does Lai Shiu Wing team compete participate in?,Lai Shiu Wing | Hong Kong national football team | Student competition | Ajax København | Raheny United F.C.,Hong Kong national football team | Lai Shiu Wing
Dense keyword,keyword_compress,5a79ad485542994bb9457036,What competitions does Lai Shiu Wing team compete participate in? ,1.0,1.0,0.9197207891481876,1.5,0.0,1,competitions lai shiu wing team compete participate,Lai Shiu Wing | Student competition | Hong Kong national football team | Melbourne University Soccer Club | Ajax København,Hong Kong national football team | Lai Shiu Wing
Hybrid original,keep,5a79ad485542994bb9457036,What competitions does Lai Shiu Wing team compete participate in? ,1.0,1.0,0.9197207891481876,1.5,0.0,2,What competitions does Lai Shiu Wing team compete participate in?,Lai Shiu Wing | Ajax København | Hong Kong national football team | Manfred Oettl Reyes | Student competition,Hong Kong national football team | Lai Shiu Wing
Hybrid keyword,keyword_compress,5a79ad485542994bb9457036,What competitions does Lai Shiu Wing team compete participate in? ,1.0,1.0,0.8503449055347546,1.5,0.0,2,competitions lai shiu wing team compete participate,Lai Shiu Wing | Manfred Oettl Reyes | Student competition | Ajax København | Hong Kong national football team,Hong Kong national football team | Lai Shiu Wing
Dense original,keep,5a7d2b5755429907fabef0c2,To what team was the 2014 NBA Rookie of the Year traded in October 2016? ,1.0,0.5,0.6934264036172708,1.25,0.0,1,To what team was the 2014 NBA Rookie of the Year traded in October 2016?,2016–17 Philadelphia 76ers season | 2016–17 Chicago Bulls season | Michael Carter-Williams | 1991–92 Charlotte Hornets season | Shabazz Napier,2016–17 Chicago Bulls season | Michael Carter-Williams
Dense keyword,keyword_compress,5a7d2b5755429907fabef0c2,To what team was the 2014 NBA Rookie of the Year traded in October 2016? ,1.0,0.5,0.6509209298071326,1.25,0.0,1,team 2014 nba rookie year traded october 2016,2016–17 Philadelphia 76ers season | 2016–17 Chicago Bulls season | 1991–92 Charlotte Hornets season | Michael Carter-Williams | Shabazz Napier,2016–17 Chicago Bulls season | Michael Carter-Williams
Hybrid original,keep,5a7d2b5755429907fabef0c2,To what team was the 2014 NBA Rookie of the Year traded in October 2016? ,1.0,1.0,0.9197207891481876,1.5,0.0,2,To what team was the 2014 NBA Rookie of the Year traded in October 2016?,2016–17 Chicago Bulls season | 2016–17 Philadelphia 76ers season | Michael Carter-Williams | Shabazz Napier | 1991–92 Charlotte Hornets season,2016–17 Chicago Bulls season | Michael Carter-Williams
Hybrid keyword,keyword_compress,5a7d2b5755429907fabef0c2,To what team was the 2014 NBA Rookie of the Year traded in October 2016? ,1.0,1.0,0.9197207891481876,1.5,0.0,2,team 2014 nba rookie year traded october 2016,2016–17 Chicago Bulls season | 2016–17 Philadelphia 76ers season | Michael Carter-Williams | Shabazz Napier | 1991–92 Charlotte Hornets season,2016–17 Chicago Bulls season | Michael Carter-Williams
Dense original,keep,5a8838635542997e5c09a5a9,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",Angry Dad: The Movie | I Am Furious (Yellow) | American Dad! (season 11) | In the Name of the Grandfather | The Simpsons (season 22),Angry Dad: The Movie | The Simpsons (season 22)
Dense keyword,keyword_compress,5a8838635542997e5c09a5a9,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",1.0,1.0,0.8503449055347546,1.5,0.0,1,angry dad movie fourteenth episode simpson s season began airing date,Angry Dad: The Movie | I Am Furious (Yellow) | American Dad! (season 11) | In the Name of the Grandfather | The Simpsons (season 22),Angry Dad: The Movie | The Simpsons (season 22)
Hybrid original,keep,5a8838635542997e5c09a5a9,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",Angry Dad: The Movie | I Am Furious (Yellow) | In the Name of the Grandfather | American Dad! (season 11) | Donnie Simpson,Angry Dad: The Movie | The Simpsons (season 22)
Hybrid keyword,keyword_compress,5a8838635542997e5c09a5a9,"""Angry Dad: The Movie"" is the fourteenth episode of a simpson's season that began airing on which date ?",0.5,1.0,0.6131471927654584,1.0,0.0,2,angry dad movie fourteenth episode simpson s season began airing date,Angry Dad: The Movie | I Am Furious (Yellow) | American Dad! (season 11) | Donnie Simpson | In the Name of the Grandfather,Angry Dad: The Movie | The Simpsons (season 22)
Dense original,keep,5a7fa5b05542994857a7679b,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",(He's) The Great Imposter | Charles P. Snyder | Scorpio (astrology) | Tatiana Troyanos | Jackie DeShannon,(He's) The Great Imposter | Jackie DeShannon
Dense keyword,keyword_compress,5a7fa5b05542994857a7679b,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",1.0,1.0,1.0,1.5,0.0,1,addition individual born august 21 else wrote s great imposter,(He's) The Great Imposter | Jackie DeShannon | Tatiana Troyanos | Charles P. Snyder | Scorpio (astrology),(He's) The Great Imposter | Jackie DeShannon
Hybrid original,keep,5a7fa5b05542994857a7679b,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",(He's) The Great Imposter | Tatiana Troyanos | Scorpio (astrology) | Charles P. Snyder | One Love Revolution,(He's) The Great Imposter | Jackie DeShannon
Hybrid keyword,keyword_compress,5a7fa5b05542994857a7679b,"In addition to the individual born on August 21, who else wrote He's The Great Imposter?",1.0,1.0,0.9197207891481876,1.5,0.0,2,addition individual born august 21 else wrote s great imposter,(He's) The Great Imposter | Tatiana Troyanos | Jackie DeShannon | One Love Revolution | Bryan Bayda,(He's) The Great Imposter | Jackie DeShannon
Dense original,keep,5a7df1095542990b8f503afe,Who was born first out of  Thomas Carr and Joyce Wieland?,1.0,1.0,0.8772153153380493,1.5,0.0,1,Who was born first out of  Thomas Carr and Joyce Wieland?,Joyce Wieland | Thomas Carr (publisher) | William Awdry | Thomas Carr (director) | Tommy Forgan,Joyce Wieland | Thomas Carr (director)
Dense keyword,keyword_compress,5a7df1095542990b8f503afe,Who was born first out of  Thomas Carr and Joyce Wieland?,1.0,1.0,1.0,1.5,0.0,1,born first out thomas carr joyce wieland,Joyce Wieland | Thomas Carr (director) | Tommy Forgan | Thomas Carr (publisher) | William Awdry,Joyce Wieland | Thomas Carr (director)
Hybrid original,keep,5a7df1095542990b8f503afe,Who was born first out of  Thomas Carr and Joyce Wieland?,1.0,1.0,0.8772153153380493,1.5,0.0,2,Who was born first out of  Thomas Carr and Joyce Wieland?,Joyce Wieland | Thomas Carr (publisher) | Superman (serial) | Thomas Carr (director) | Tom Hurd,Joyce Wieland | Thomas Carr (director)
Hybrid keyword,keyword_compress,5a7df1095542990b8f503afe,Who was born first out of  Thomas Carr and Joyce Wieland?,1.0,1.0,0.9197207891481876,1.5,0.0,2,born first out thomas carr joyce wieland,Joyce Wieland | Tommy Forgan | Thomas Carr (director) | Superman (serial) | Thomas Carr (publisher),Joyce Wieland | Thomas Carr (director)
Dense original,keep,5a74b4dc55429979e2882a00,Which former lead guitarist has a solo album named two disc compilation album?,0.0,0.0,0.0,0.0,0.0,1,Which former lead guitarist has a solo album named two disc compilation album?,Solos and Duets | Hits &amp; Ballads | Ampology | Nuclear Blast All-Stars: Out of the Dark | The Platinum Collection (Blondie album),Hunt Music | Ted Nugent
Dense keyword,keyword_compress,5a74b4dc55429979e2882a00,Which former lead guitarist has a solo album named two disc compilation album?,0.0,0.0,0.0,0.0,0.0,1,former lead guitarist solo album named two disc compilation album,Solos and Duets | Hits &amp; Ballads | Nuclear Blast All-Stars: Out of the Dark | The Platinum Collection (Blondie album) | Land (1975–2002),Hunt Music | Ted Nugent
Hybrid original,keep,5a74b4dc55429979e2882a00,Which former lead guitarist has a solo album named two disc compilation album?,0.5,0.5,0.38685280723454163,0.75,0.0,2,Which former lead guitarist has a solo album named two disc compilation album?,Solos and Duets | Ted Nugent | Hits &amp; Ballads | Ampology | Nuclear Blast All-Stars: Out of the Dark,Hunt Music | Ted Nugent
Hybrid keyword,keyword_compress,5a74b4dc55429979e2882a00,Which former lead guitarist has a solo album named two disc compilation album?,0.5,0.5,0.38685280723454163,0.75,0.0,2,former lead guitarist solo album named two disc compilation album,Solos and Duets | Ted Nugent | Hits &amp; Ballads | Ampology | Nuclear Blast All-Stars: Out of the Dark,Hunt Music | Ted Nugent
Dense original,keep,5a77c58b55429967ab105281,"Who is still alive today, Franklin Adreon or Ryan Gosling?",1.0,1.0,1.0,1.5,0.0,1,"Who is still alive today, Franklin Adreon or Ryan Gosling?",Franklin Adreon | Ryan Gosling | Kristijan Golubović | Jack Harrison (RAF officer) | Still Alive: The Remixes,Franklin Adreon | Ryan Gosling
Dense keyword,keyword_compress,5a77c58b55429967ab105281,"Who is still alive today, Franklin Adreon or Ryan Gosling?",1.0,1.0,1.0,1.5,0.0,1,still alive today franklin adreon ryan gosling,Franklin Adreon | Ryan Gosling | Kristijan Golubović | Jack Harrison (RAF officer) | Still Alive: The Remixes,Franklin Adreon | Ryan Gosling
Hybrid original,keep,5a77c58b55429967ab105281,"Who is still alive today, Franklin Adreon or Ryan Gosling?",1.0,1.0,1.0,1.5,0.0,2,"Who is still alive today, Franklin Adreon or Ryan Gosling?",Franklin Adreon | Ryan Gosling | Kristijan Golubović | Edaphodon kawai | Albanian epic verse,Franklin Adreon | Ryan Gosling
Hybrid keyword,keyword_compress,5a77c58b55429967ab105281,"Who is still alive today, Franklin Adreon or Ryan Gosling?",1.0,1.0,1.0,1.5,0.0,2,still alive today franklin adreon ryan gosling,Franklin Adreon | Ryan Gosling | Still Alive: The Remixes | Albanian epic verse | Kristijan Golubović,Franklin Adreon | Ryan Gosling
Dense original,keep,5abe407155429976d4830ab4,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,1.0,1.0,0.8503449055347546,1.5,0.0,1,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,Joe Orton | What the Butler Saw (play) | Alan Schneider | The Ruffian on the Stair | Bernard-Marie Koltès,Bernard-Marie Koltès | Joe Orton
Dense keyword,keyword_compress,5abe407155429976d4830ab4,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,1.0,1.0,0.8503449055347546,1.5,0.0,1,joe orton bernard marie kolt s both playwrights,Joe Orton | What the Butler Saw (play) | The Ruffian on the Stair | Alan Schneider | Bernard-Marie Koltès,Bernard-Marie Koltès | Joe Orton
Hybrid original,keep,5abe407155429976d4830ab4,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,1.0,0.5,0.6509209298071326,1.25,0.0,2,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,Alan Schneider | Joe Orton | The Ruffian on the Stair | Bernard-Marie Koltès | What the Butler Saw (play),Bernard-Marie Koltès | Joe Orton
Hybrid keyword,keyword_compress,5abe407155429976d4830ab4,Are Joe Orton and Bernard-Marie Koltès both playwrights ?,1.0,0.5,0.6934264036172708,1.25,0.0,2,joe orton bernard marie kolt s both playwrights,Alan Schneider | Joe Orton | Bernard-Marie Koltès | What the Butler Saw (play) | Prick Up Your Ears (play),Bernard-Marie Koltès | Joe Orton
Dense original,keep,5a8e42d15542995a26add4a6,"Zhangye and Nan'an, Fujian are both located where?",1.0,1.0,0.9197207891481876,1.5,0.0,1,"Zhangye and Nan'an, Fujian are both located where?","Nan'an, Fujian | Zhangye Railway Station | Zhangye | The Nan'ao General Headquarters | Fujian Medical University","Nan'an, Fujian | Zhangye"
Dense keyword,keyword_compress,5a8e42d15542995a26add4a6,"Zhangye and Nan'an, Fujian are both located where?",1.0,1.0,0.9197207891481876,1.5,0.0,1,zhangye nan fujian both located,"Nan'an, Fujian | Zhangye Railway Station | Zhangye | The Nan'ao General Headquarters | Zhangye West Railway Station","Nan'an, Fujian | Zhangye"
Hybrid original,keep,5a8e42d15542995a26add4a6,"Zhangye and Nan'an, Fujian are both located where?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"Zhangye and Nan'an, Fujian are both located where?","Nan'an, Fujian | Nan, Thailand | The Nan'ao General Headquarters | Zhangye Railway Station | Fujian Medical University","Nan'an, Fujian | Zhangye"
Hybrid keyword,keyword_compress,5a8e42d15542995a26add4a6,"Zhangye and Nan'an, Fujian are both located where?",0.5,1.0,0.6131471927654584,1.0,0.0,2,zhangye nan fujian both located,"Nan'an, Fujian | The Nan'ao General Headquarters | Zhangye Railway Station | Zhangye West Railway Station | Nan, Thailand","Nan'an, Fujian | Zhangye"
Dense original,keep,5a8888e35542997e5c09a5f6,In what town is the university which the Bryant Bulldogs represent?,0.5,0.2,0.23719771276929622,0.6,0.0,1,In what town is the university which the Bryant Bulldogs represent?,Bryant Bulldogs football | Bryant Bulldogs men's lacrosse | Bryant Bulldogs baseball | Bryant Bulldogs | Bryant Bulldogs women's basketball,Bryant Bulldogs women's basketball | Bryant University
Dense keyword,keyword_compress,5a8888e35542997e5c09a5f6,In what town is the university which the Bryant Bulldogs represent?,0.5,0.25,0.2640681225725909,0.625,0.0,1,town university bryant bulldogs represent,Bryant Bulldogs football | Bryant Bulldogs men's lacrosse | Bryant Bulldogs baseball | Bryant Bulldogs women's basketball | 2011 Bryant Bulldogs football team,Bryant Bulldogs women's basketball | Bryant University
Hybrid original,keep,5a8888e35542997e5c09a5f6,In what town is the university which the Bryant Bulldogs represent?,0.0,0.0,0.0,0.0,0.0,2,In what town is the university which the Bryant Bulldogs represent?,Bryant Bulldogs football | Georgia Bulldogs football statistical leaders | Bryant Bulldogs baseball | Bryant Bulldogs men's lacrosse | Bryant Bulldogs,Bryant Bulldogs women's basketball | Bryant University
Hybrid keyword,keyword_compress,5a8888e35542997e5c09a5f6,In what town is the university which the Bryant Bulldogs represent?,0.5,0.25,0.2640681225725909,0.625,0.0,2,town university bryant bulldogs represent,Bryant Bulldogs football | Georgia Bulldogs football statistical leaders | Bryant Bulldogs men's lacrosse | Bryant Bulldogs women's basketball | Bryant Bulldogs baseball,Bryant Bulldogs women's basketball | Bryant University
Dense original,keep,5a77ddb855429967ab1052d8,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",True Colors World Tour | True Colors Tour (Zedd) | True Colors (Cyndi Lauper album) | True Colors (concert tour) | Cyndi Lauper,Cyndi Lauper | True Colors World Tour
Dense keyword,keyword_compress,5a77ddb855429967ab1052d8,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",0.5,1.0,0.6131471927654584,1.0,0.0,1,true colors world tour artist debut album s so unusual,True Colors World Tour | True Colors Tour (Zedd) | True Colors (Cyndi Lauper album) | True Colors (concert tour) | True Colors (Zedd and Kesha song),Cyndi Lauper | True Colors World Tour
Hybrid original,keep,5a77ddb855429967ab1052d8,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",1.0,1.0,1.0,1.5,0.0,2,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",True Colors World Tour | Cyndi Lauper | True Colors (Cyndi Lauper album) | Ras Kimono | True Colors Tour (Zedd),Cyndi Lauper | True Colors World Tour
Hybrid keyword,keyword_compress,5a77ddb855429967ab1052d8,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",1.0,1.0,1.0,1.5,0.0,2,true colors world tour artist debut album s so unusual,True Colors World Tour | Cyndi Lauper | True Colors (Cyndi Lauper album) | True Colors Tour (Zedd) | True Colors (Zedd and Kesha song),Cyndi Lauper | True Colors World Tour
